"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2021","8.7257","8.3881","8.7610","8.2915","","4.10%"
"06/06/2021","8.3818","8.6687","8.6937","8.2647","","-3.17%"
"05/30/2021","8.6563","8.5604","8.7855","8.4558","","1.26%"
"05/23/2021","8.5484","8.4170","8.6237","8.3604","","1.69%"
"05/16/2021","8.4066","8.4680","8.4718","8.2898","","-0.41%"
"05/09/2021","8.4413","8.2429","8.5163","8.2140","","2.52%"
"05/02/2021","8.2336","8.2891","8.3823","8.2080","","-0.48%"
"04/25/2021","8.2735","8.3934","8.4942","8.1213","","-1.23%"
"04/18/2021","8.3762","8.0746","8.4256","8.0235","","3.97%"
"04/11/2021","8.0567","8.1655","8.2371","8.0007","","-1.19%"
"04/04/2021","8.1534","8.1695","8.2560","8.0805","","-0.10%"
"03/28/2021","8.1619","8.1192","8.4677","7.9745","","0.33%"
"03/21/2021","8.1350","7.2185","8.1812","7.2180","","12.77%"
"03/14/2021","7.2140","7.5635","7.6411","7.1909","","-4.56%"
"03/07/2021","7.5586","7.5380","7.7876","7.4270","","0.32%"
"02/28/2021","7.5348","7.4269","7.5856","7.2181","","1.51%"
"02/21/2021","7.4226","6.9637","7.4925","6.9576","","6.67%"
"02/14/2021","6.9587","7.0355","7.0603","6.8882","","-1.04%"
"02/07/2021","7.0319","7.0601","7.1451","7.0037","","-0.24%"
"01/31/2021","7.0488","7.3151","7.3177","7.0289","","-3.57%"
"01/24/2021","7.3099","7.4147","7.4376","7.2695","","-1.36%"
"01/17/2021","7.4106","7.4729","7.5458","7.3440","","-0.84%"
"01/10/2021","7.4733","7.3636","7.5321","7.3463","","1.38%"
"01/03/2021","7.3713","7.4403","7.4470","7.2372","","-0.88%"
"12/27/2020","7.4371","7.5716","7.5756","7.3030","","-1.46%"
"12/20/2020","7.5470","7.6310","7.7376","7.5305","","-1.01%"
"12/13/2020","7.6239","7.8601","7.9392","7.6122","","-2.96%"
"12/06/2020","7.8562","7.8029","8.0347","7.7865","","0.75%"
"11/29/2020","7.7981","7.8353","7.9250","7.7424","","-0.45%"
"11/22/2020","7.8332","7.6400","8.0530","7.6349","","2.63%"
"11/15/2020","7.6323","7.6612","7.8061","7.5035","","-0.36%"
"11/08/2020","7.6602","8.4316","8.4543","7.5936","","-10.09%"
"11/01/2020","8.5200","8.3467","8.5876","8.3401","","2.10%"
"10/25/2020","8.3448","7.9645","8.3899","7.9585","","4.82%"
"10/18/2020","7.9610","7.9353","7.9880","7.7792","","0.39%"
"10/11/2020","7.9304","7.8602","7.9612","7.8510","","0.94%"
"10/04/2020","7.8566","7.7714","7.9591","7.7206","","1.10%"
"09/27/2020","7.7708","7.6648","7.8669","7.6219","","1.44%"
"09/20/2020","7.6607","7.5608","7.7228","7.4915","","1.38%"
"09/13/2020","7.5563","7.4720","7.5932","7.4548","","1.12%"
"09/06/2020","7.4724","7.4360","7.5056","7.3977","","0.53%"
"08/30/2020","7.4331","7.3314","7.4651","7.3110","","1.37%"
"08/23/2020","7.3329","7.3332","7.4212","7.2727","","-0.05%"
"08/16/2020","7.3365","7.3750","7.4036","7.1840","","-0.41%"
"08/09/2020","7.3664","7.2898","7.3885","7.1753","","1.03%"
"08/02/2020","7.2911","6.9745","7.3755","6.8868","","4.60%"
"07/26/2020","6.9702","6.8468","7.0169","6.8355","","1.84%"
"07/19/2020","6.8446","6.8586","6.8688","6.8165","","-0.16%"
"07/12/2020","6.8553","6.8677","6.8776","6.8419","","-0.09%"
"07/05/2020","6.8618","6.8618","6.8758","6.8359","","0.03%"
"06/28/2020","6.8596","6.8539","6.8773","6.8361","","0.13%"
"06/21/2020","6.8506","6.8478","6.8637","6.8265","","0.01%"
"06/14/2020","6.8498","6.8136","6.8646","6.8054","","0.58%"
"06/07/2020","6.8106","6.7673","6.8572","6.7570","","0.63%"
"05/31/2020","6.7680","6.8221","6.8293","6.6835","","-0.74%"
"05/24/2020","6.8182","6.8146","6.8437","6.6957","","0.11%"
"05/17/2020","6.8107","6.8991","6.9036","6.7536","","-1.28%"
"05/10/2020","6.8992","7.0844","7.1118","6.8928","","-2.58%"
"05/03/2020","7.0820","7.0158","7.2712","6.9965","","1.06%"
"04/26/2020","7.0080","6.9707","7.0441","6.9426","","0.51%"
"04/19/2020","6.9722","6.9314","7.0097","6.8714","","0.61%"
"04/12/2020","6.9300","6.7033","6.9605","6.7009","","3.49%"
"04/05/2020","6.6961","6.7291","6.7979","6.6164","","-0.49%"
"03/29/2020","6.7290","6.4549","6.7517","6.4433","","4.28%"
"03/22/2020","6.4530","6.5528","6.6185","6.3773","","-1.49%"
"03/15/2020","6.5505","6.3320","6.5665","6.2775","","3.48%"
"03/08/2020","6.3301","6.0903","6.3400","6.0860","","3.94%"
"03/01/2020","6.0899","6.2432","6.2610","6.0303","","-2.39%"
"02/23/2020","6.2387","6.0979","6.2579","6.0662","","2.40%"
"02/16/2020","6.0924","6.0531","6.1269","6.0340","","0.72%"
"02/09/2020","6.0490","6.0154","6.0699","5.9736","","0.58%"
"02/02/2020","6.0143","5.9819","6.0500","5.9585","","0.55%"
"01/26/2020","5.9812","5.9392","5.9886","5.9278","","0.73%"
"01/19/2020","5.9381","5.8820","5.9489","5.8820","","0.82%"
"01/12/2020","5.8898","5.8785","5.9126","5.8341","","0.22%"
"01/05/2020","5.8767","5.9722","5.9893","5.8552","","-1.58%"
"12/29/2019","5.9713","5.9493","5.9792","5.9350","","0.37%"
"12/22/2019","5.9492","5.9388","5.9617","5.9165","","0.23%"
"12/15/2019","5.9356","5.8081","5.9457","5.8027","","2.21%"
"12/08/2019","5.8072","5.7758","5.8268","5.7603","","0.55%"
"12/01/2019","5.7756","5.7465","5.7906","5.7257","","0.52%"
"11/24/2019","5.7460","5.7173","5.8107","5.6993","","0.59%"
"11/17/2019","5.7122","5.7434","5.7570","5.6813","","-0.56%"
"11/10/2019","5.7443","5.7671","5.7973","5.7308","","-0.37%"
"11/03/2019","5.7658","5.7085","5.7737","5.6790","","1.17%"
"10/27/2019","5.6989","5.7746","5.7771","5.6947","","-1.30%"
"10/20/2019","5.7738","5.7920","5.8678","5.7234","","-0.30%"
"10/13/2019","5.7909","5.8852","5.9416","5.7473","","-1.57%"
"10/06/2019","5.8833","5.7036","5.8976","5.6930","","3.30%"
"09/29/2019","5.6952","5.6698","5.7567","5.6270","","0.45%"
"09/22/2019","5.6698","5.7405","5.7428","5.6380","","-1.27%"
"09/15/2019","5.7429","5.6848","5.7484","5.6480","","1.02%"
"09/08/2019","5.6851","5.7116","5.7913","5.6430","","-0.51%"
"09/01/2019","5.7145","5.8306","5.8395","5.6380","","-1.97%"
"08/25/2019","5.8296","5.7602","5.8577","5.7596","","1.23%"
"08/18/2019","5.7589","5.5782","5.7889","5.5530","","3.25%"
"08/11/2019","5.5775","5.4904","5.6342","5.4851","","1.58%"
"08/04/2019","5.4907","5.5590","5.6175","5.4410","","-1.22%"
"07/28/2019","5.5587","5.6708","5.6708","5.5030","","-1.98%"
"07/21/2019","5.6708","5.6383","5.7670","5.5990","","0.31%"
"07/14/2019","5.6531","5.7188","5.7323","5.6060","","-0.96%"
"07/07/2019","5.7081","5.6285","5.7930","5.6284","","1.43%"
"06/30/2019","5.6278","5.7910","5.7910","5.5715","","-2.76%"
"06/23/2019","5.7873","5.8203","5.8293","5.6965","","-0.57%"
"06/16/2019","5.8204","5.8980","5.9260","5.7180","","-1.36%"
"06/09/2019","5.9005","5.8314","5.9319","5.7425","","1.21%"
"06/02/2019","5.8300","5.8389","5.8922","5.6631","","-0.12%"
"05/26/2019","5.8372","6.0834","6.1000","5.8080","","-4.02%"
"05/19/2019","6.0815","6.0548","6.1510","5.9900","","0.45%"
"05/12/2019","6.0540","6.0022","6.1305","5.9530","","1.31%"
"05/05/2019","5.9757","5.9640","6.2478","5.9561","","0.38%"
"04/28/2019","5.9531","5.9318","5.9858","5.9152","","0.27%"
